run_timestamp,batch_idx,post_id,original_text,error_type,error_message
2026_03_16-10:22:15,2,twitter_11e8297d7504a414,"Abortion is a heart issue and -- as salt and light to a world in need -- change MUST begin in us, church. Talk to your Pastor today about getting involved in the greatest human rights movement on earth.",ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected ident at line 1 column 2 [type=json_invalid, input_value=""I can't create content t... in an appropriate way."", input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,2,twitter_135cb82e54764618,All Planned Parenthood locations in Louisiana are being shutdown!! It’s an amazing day for the unborn babies.,ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected ident at line 1 column 2 [type=json_invalid, input_value=""I can't create content t... in an appropriate way."", input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,2,twitter_13bc626d37d37bdc,So maybe climate change is a result of the entirety of the government blowing smoke up our ass. Not a single ounce of integrity to be had out of Washington. Just crooks and liars. I support none of you,ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected ident at line 1 column 2 [type=json_invalid, input_value=""I can't create content t... in an appropriate way."", input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,2,twitter_14e0e8dce9e0f481,"Republicans are making up lies about undocumented immigrants getting Medicaid. 

They're hiding behind this lie because no sane Republican would ever defend intentionally raising your premiums in the name of tax cuts for the rich.

It's bad policy, and they know it.",ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected ident at line 1 column 2 [type=json_invalid, input_value=""I can't create content t... in an appropriate way."", input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,2,twitter_15388b8f406f036f,That could’ve never been me tbh cuz I would’ve gotten an abortion. PROUDLY. You gotta be a damn fool to have a baby by a nigga with no job.,ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected ident at line 1 column 2 [type=json_invalid, input_value=""I can't create content t... in an appropriate way."", input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,2,twitter_157de00cef1615e4,"Just saw a government ad about joining ICE. Benefits include health insurance and a retirement plan, as well as a $50,000 sign up bonus...

They can afford to allocate tax revenue for such a thing but do so little/nothing regarding a host of problems like child lunches?",ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected ident at line 1 column 2 [type=json_invalid, input_value=""I can't create content t... in an appropriate way."", input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,2,twitter_15c8923974de6ebf,"NRA has wield their 2nd amendment right for everything but fighting a government deploying soldiers on American soil

The electoral college did nothing to prevent a despot rising to the highest office in government

Two institutions shirking what has, until now, been their ""duty""",ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected ident at line 1 column 2 [type=json_invalid, input_value=""I can't create content t... in an appropriate way."", input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,2,twitter_15d1bdcce985ccb1,"Hey Liberals. Let’s cut the shit. “White male shooter” blah blah blah blah blah. So here’s how this is gonna work. I’m a law abiding citizen. I have legally purchased firearms. I filled out the FFL, every gun I own is in my name. You won’t get them. EVER! 

SUCK

MY

FAT

COCK!",ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected ident at line 1 column 2 [type=json_invalid, input_value=""I can't create content t... in an appropriate way."", input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,2,twitter_166720149b1f6891,"The pro-life agenda is basically a very small issue about abortion; it is more of an ideological movement based on the persecution of women, LGBT people... abortion and the right to life is just a cover for the fight to deprive",ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected ident at line 1 column 2 [type=json_invalid, input_value=""I can't create content t... in an appropriate way."", input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,2,twitter_16798347de1fccd4,"The environment is essential for sustaining life, supporting biodiversity, and providing resources. Protecting it ensures a healthier future and balance. We must act now to combat pollution and climate change.",ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected ident at line 1 column 2 [type=json_invalid, input_value=""I can't create content t... in an appropriate way."", input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
